Timestamp,Head_position_x,Head_position_y,Head_position_z,Head_euler_x,Head_euler_y,Head_euler_z,Head_quat_x,Head_quat_y,Head_quat_z,Head_quat_w,Head_sixD_a,Head_sixD_b,Head_sixD_c,Head_sixD_d,Head_sixD_e,Head_sixD_f,LeftHand_position_x,LeftHand_position_y,LeftHand_position_z,LeftHand_euler_x,LeftHand_euler_y,LeftHand_euler_z,LeftHand_quat_x,LeftHand_quat_y,LeftHand_quat_z,LeftHand_quat_w,LeftHand_sixD_a,LeftHand_sixD_b,LeftHand_sixD_c,LeftHand_sixD_d,LeftHand_sixD_e,LeftHand_sixD_f,RightHand_position_x,RightHand_position_y,RightHand_position_z,RightHand_euler_x,RightHand_euler_y,RightHand_euler_z,RightHand_quat_x,RightHand_quat_y,RightHand_quat_z,RightHand_quat_w,RightHand_sixD_a,RightHand_sixD_b,RightHand_sixD_c,RightHand_sixD_d,RightHand_sixD_e,RightHand_sixD_f
0.000,-0.005447,1.384217,2.636082,47.860178510928904,-3.4647707529354776,-0.07393020908652342,-0.405454,0.027371,-0.011673,-0.913631,0.998229,-0.000866,0.059479,-0.043525,0.670941,0.740232,-0.050229,1.101569,2.960053,-26.09294320211732,6.735837700262299,-3.864561545925862,-0.227153,0.0496,-0.019537,0.972399,0.994316,-0.060528,-0.087586,0.015461,0.89604,-0.443705,0.06804,1.091386,2.946067,-19.232517561632005,0.9237355227448228,-11.563159979209278,-0.166994,-0.00892,-0.097978,0.981037,0.980641,-0.189261,0.050226,0.19522,0.925026,-0.325907
0.046,-0.004045,1.383911,2.636207,47.725730856961576,-3.072924068368259,-0.09153061625927622,-0.404423,0.024198,-0.010117,-0.914196,0.998624,-0.001075,0.052426,-0.038069,0.67268,0.738954,-0.050531,1.101539,2.9605,-26.228896942464832,6.218756855614476,-3.578886570690522,-0.228102,0.045727,-0.018066,0.972395,0.995165,-0.055996,-0.080687,0.014275,0.895286,-0.445263,0.068223,1.091671,2.945762,-19.51370161670819,0.894308610418103,-11.610663097377165,-0.169371,-0.009489,-0.098367,0.980585,0.980468,-0.1897,0.051931,0.196129,0.923275,-0.330299
0.106,-0.001707,1.383013,2.636116,47.86166045172362,-2.2460997552385176,0.10629792180347926,-0.405539,0.018291,-0.008798,-0.913853,0.999176,0.001245,0.040566,-0.030915,0.670922,0.740883,-0.050435,1.10058,2.961743,-25.901262195829496,5.855374463091468,-3.2252275755115094,-0.225131,0.043458,-0.015948,0.973228,0.995714,-0.05061,-0.077409,0.011475,0.898124,-0.439593,0.068387,1.09175,2.945729,-19.388874313538334,0.9536296848215087,-11.713268266812486,-0.168346,-0.009022,-0.099185,0.980684,0.980162,-0.1915,0.051091,0.197575,0.923644,-0.328399
0.111,-0.001237,1.382819,2.636001,47.872381057761416,-2.0499287426440937,0.16507988581773145,-0.40563,0.016934,-0.008574,-0.91384,0.999279,0.001933,0.037906,-0.029409,0.670781,0.741072,-0.050344,1.100207,2.962198,-25.7737670878008,5.773067396435878,-3.1658689734598338,-0.224015,0.042918,-0.015667,0.973514,0.995825,-0.049733,-0.076543,0.011276,0.899144,-0.437508,0.068595,1.091685,2.945745,-19.352990124062252,1.0445599261502096,-11.748148349710327,-0.168115,-0.008263,-0.099358,0.980712,0.980119,-0.192106,0.049615,0.197663,0.92373,-0.328104
0.115,-0.000766,1.382659,2.635949,47.89494765590484,-1.858031352004721,0.2219484921131596,-0.405816,0.015604,-0.008351,-0.913783,0.999374,0.002597,0.035295,-0.027926,0.670487,0.741396,-0.050292,1.099752,2.962661,-25.624596984042057,5.672248006128917,-3.099403413359743,-0.22271,0.04224,-0.01537,0.973848,0.995959,-0.04875,-0.075424,0.011121,0.900328,-0.43507,0.068815,1.09171,2.945694,-19.348159602117818,1.140822726903841,-11.796648253923873,-0.168154,-0.007506,-0.099633,0.980684,0.980034,-0.192893,0.048229,0.197942,0.923595,-0.328315
0.126,-0.000259,1.382458,2.635856,47.923966931022505,-1.6657195617431981,0.27009508783285213,-0.406055,0.01424,-0.008057,-0.913702,0.999465,0.003159,0.032565,-0.026288,0.670109,0.741797,-0.05027,1.09969,2.962705,-25.591667599183957,5.663383170952791,-3.0826024450990133,-0.222423,0.042208,-0.01526,0.973917,0.995971,-0.048501,-0.075426,0.010948,0.90059,-0.434532,0.068903,1.091738,2.945665,-19.371311095079218,1.1589198556397244,-11.825279628996453,-0.168366,-0.007414,-0.099846,0.980627,0.979951,-0.193328,0.048163,0.198321,0.923367,-0.328728
0.137,0.000206,1.38226,2.635796,47.95328133685778,-1.462362343119498,0.32037413451833735,-0.406297,0.012796,-0.00774,-0.913619,0.999553,0.003744,0.02967,-0.02454,0.669726,0.742203,-0.050221,1.099225,2.963269,-25.407428089012306,5.548330701862026,-2.929741086161426,-0.220787,0.041584,-0.014269,0.974331,0.996134,-0.046167,-0.074733,0.009442,0.902099,-0.431425,0.069175,1.091783,2.945593,-19.370863397917535,1.245319814900743,-11.866630014944441,-0.168435,-0.006735,-0.100073,0.980597,0.97988,-0.193993,0.04692,0.198531,0.92323,-0.328986
0.148,0.000732,1.382061,2.635659,47.9934423267042,-1.2271079896080233,0.38611896827373676,-0.406626,0.011153,-0.007433,-0.913497,0.999641,0.00451,0.026421,-0.02265,0.669201,0.742736,-0.050225,1.098661,2.963825,-25.18582392120223,5.3844673493679,-2.580838218515323,-0.218759,0.040925,-0.011716,0.97485,0.996376,-0.040749,-0.074666,0.004938,0.904015,-0.427473,0.069559,1.091871,2.945382,-19.39474123483035,1.3221383616686322,-11.871880212918452,-0.168706,-0.006107,-0.099999,0.980562,0.979926,-0.194049,0.045718,0.19817,0.923077,-0.329632
0.159,0.001224,1.381866,2.635622,48.017297766261535,-1.0083880429489136,0.43702174759413587,-0.406825,0.00959,-0.007064,-0.913428,0.999716,0.005102,0.023267,-0.020708,0.668887,0.743076,-0.050281,1.098617,2.963821,-25.163443577424193,5.331083240297026,-2.3884576603278203,-0.218495,0.040844,-0.010191,0.97493,0.996456,-0.037718,-0.075186,0.002022,0.904312,-0.426867,0.06952,1.091908,2.945353,-19.397396085798388,1.2908513959029502,-11.805228744174196,-0.168705,-0.006279,-0.099474,0.980614,0.980131,-0.192972,0.045878,0.197209,0.923287,-0.32962
0.170,0.001688,1.381657,2.635564,48.047486738242995,-0.7829849286718363,0.48080941271123195,-0.407076,0.007949,-0.006614,-0.913336,0.999786,0.00561,0.019904,-0.018553,0.66849,0.743489,-0.0503,1.097977,2.964369,-24.916531628519614,5.1173878764008265,-1.927260627149973,-0.216216,0.039961,-0.006776,0.975504,0.996714,-0.0305,-0.075035,-0.004061,0.906409,-0.422381,0.069839,1.091901,2.945251,-19.400351066923086,1.3523866898470693,-11.737963655353763,-0.168787,-0.005656,-0.098807,0.980671,0.980411,-0.191884,0.044448,0.195703,0.923497,-0.329931
