Timestamp,Head_position_x,Head_position_y,Head_position_z,Head_euler_x,Head_euler_y,Head_euler_z,Head_quat_x,Head_quat_y,Head_quat_z,Head_quat_w,Head_sixD_a,Head_sixD_b,Head_sixD_c,Head_sixD_d,Head_sixD_e,Head_sixD_f,LeftHand_position_x,LeftHand_position_y,LeftHand_position_z,LeftHand_euler_x,LeftHand_euler_y,LeftHand_euler_z,LeftHand_quat_x,LeftHand_quat_y,LeftHand_quat_z,LeftHand_quat_w,LeftHand_sixD_a,LeftHand_sixD_b,LeftHand_sixD_c,LeftHand_sixD_d,LeftHand_sixD_e,LeftHand_sixD_f,RightHand_position_x,RightHand_position_y,RightHand_position_z,RightHand_euler_x,RightHand_euler_y,RightHand_euler_z,RightHand_quat_x,RightHand_quat_y,RightHand_quat_z,RightHand_quat_w,RightHand_sixD_a,RightHand_sixD_b,RightHand_sixD_c,RightHand_sixD_d,RightHand_sixD_e,RightHand_sixD_f
0.000,0.084039,1.768781,2.67041,20.9844204497793,107.7199207675275,9.232125564581729,-0.170954,-0.782856,0.099915,-0.589854,-0.245694,0.149794,-0.957704,0.385535,0.921584,0.045238,0.201501,1.271241,2.836098,-9.17602769475617,76.89192046993409,-4.2748103442074585,-0.08572,0.617016,0.020585,0.781997,0.237735,-0.073586,-0.968539,-0.137976,0.984457,-0.108663,0.233375,1.289897,2.693537,-16.859234294263565,74.1038965888556,9.946090308562379,-0.064887,0.603928,0.156433,0.778839,0.2216,0.165298,-0.961026,-0.322047,0.942637,0.087876
0.046,0.081778,1.77119,2.670826,20.43546844493715,106.75238630725221,9.256691459268104,-0.169212,-0.778727,0.094529,-0.596671,-0.230702,0.150734,-0.961278,0.376345,0.924863,0.054703,0.202063,1.272627,2.834526,-9.026612525414821,76.75900415956447,-3.980856871699368,-0.083147,0.616426,0.021684,0.78271,0.239097,-0.068563,-0.968572,-0.136453,0.985233,-0.103427,0.233524,1.290245,2.688603,-16.651439240485985,74.67519648871429,9.80042420534185,-0.063444,0.607759,0.154702,0.776319,0.213393,0.163079,-0.963259,-0.317313,0.944084,0.089538
0.110,0.078202,1.775164,2.669522,19.40712158561116,105.06388321714577,8.901591644109713,-0.162935,-0.772021,0.086842,-0.608189,-0.207116,0.145947,-0.967369,0.357211,0.931821,0.064104,0.202301,1.278613,2.830702,-10.037611777412184,76.6476051456929,-4.012598289872647,-0.090216,0.614946,0.026855,0.782931,0.24224,-0.068903,-0.967767,-0.153007,0.98228,-0.108236,0.234965,1.29317,2.679925,-17.32285181918536,75.6849523559978,9.637073929091747,-0.067559,0.614342,0.157641,0.770174,0.195466,0.159815,-0.967601,-0.325831,0.94117,0.089628
0.113,0.077753,1.775882,2.669075,19.213025064730424,104.77528948992838,8.816171187862807,-0.16158,-0.770911,0.085554,-0.610138,-0.203246,0.144728,-0.968372,0.353527,0.933145,0.065263,0.202301,1.278613,2.830702,-10.037611777412184,76.6476051456929,-4.012598289872647,-0.090216,0.614946,0.026855,0.782931,0.24224,-0.068903,-0.967767,-0.153007,0.98228,-0.108236,0.234965,1.29317,2.679925,-17.32285181918536,75.6849523559978,9.637073929091747,-0.067559,0.614342,0.157641,0.770174,0.195466,0.159815,-0.967601,-0.325831,0.94117,0.089628
0.114,0.077319,1.776657,2.668422,18.99109775105556,104.46456457438542,8.755011435563155,-0.160254,-0.769683,0.083922,-0.612262,-0.198909,0.143925,-0.969392,0.349455,0.934551,0.067048,0.202666,1.281322,2.828775,-10.464724316684357,76.56292276648487,-3.9474841629686033,-0.092792,0.614112,0.029541,0.783188,0.243987,-0.067697,-0.967413,-0.160241,0.981034,-0.109064,0.236335,1.294824,2.676065,-17.68073752162871,76.10748520284652,9.47048755964067,-0.070321,0.616989,0.158638,0.767603,0.188318,0.156768,-0.969515,-0.330316,0.939778,0.087799
0.124,0.07681,1.777375,2.667819,18.778421825691606,104.12294698467808,8.70483220985057,-0.159063,-0.768249,0.082259,-0.614594,-0.193947,0.143288,-0.970491,0.345511,0.935865,0.069128,0.202754,1.281409,2.828834,-10.47018356611934,76.46172816377182,-3.9526755973014653,-0.092883,0.613412,0.029453,0.783729,0.245717,-0.067784,-0.966969,-0.160117,0.981011,-0.109456,0.236803,1.295093,2.676379,-17.724137690969016,76.04716858590646,9.406783643827925,-0.071044,0.616534,0.1584,0.767951,0.189591,0.155684,-0.969442,-0.330888,0.939725,0.086201
0.135,0.076431,1.778137,2.667039,18.55672905648447,103.79529807781768,8.678876014205505,-0.157968,-0.76686,0.080431,-0.616849,-0.189086,0.143051,-0.971485,0.341507,0.937154,0.071526,0.20287,1.281372,2.828883,-10.440955341945616,76.37899785151102,-3.996567923800987,-0.09294,0.612832,0.028928,0.784196,0.247201,-0.068542,-0.966537,-0.159284,0.981051,-0.110309,0.236909,1.295182,2.676749,-17.7305879875536,75.99765576116769,9.346999903166987,-0.071478,0.616163,0.158002,0.76829,0.190757,0.154698,-0.969371,-0.330867,0.939853,0.084878
0.146,0.075968,1.778788,2.666167,18.364428174067704,103.44104520466301,8.658546960636846,-0.157073,-0.765266,0.078743,-0.619271,-0.183664,0.142878,-0.97255,0.337931,0.938255,0.074022,0.203292,1.284076,2.826937,-10.820720689155628,76.13000506375728,-4.007175953570412,-0.095649,0.610838,0.030695,0.785358,0.25187,-0.068638,-0.965324,-0.165065,0.979818,-0.112737,0.238901,1.2971,2.673376,-18.103849871995575,76.31626412758648,9.045652582283717,-0.075211,0.617995,0.158134,0.766433,0.186152,0.149438,-0.97109,-0.335358,0.938674,0.080163
0.157,0.075395,1.779419,2.665395,18.183248985125932,103.09863703532113,8.62323206469666,-0.156119,-0.763729,0.077234,-0.621594,-0.178495,0.142448,-0.973575,0.334482,0.939324,0.076113,0.203409,1.283907,2.826965,-10.777566642975245,76.05950831805663,-4.035809097367481,-0.095526,0.610363,0.030208,0.785761,0.253089,-0.069139,-0.964969,-0.164083,0.979925,-0.113245,0.239283,1.297167,2.673854,-18.08535411328587,76.23694280085311,9.001518097827823,-0.075432,0.617441,0.15769,0.766949,0.187802,0.14873,-0.970881,-0.33503,0.938888,0.079023
0.169,0.074927,1.780092,2.664499,18.006552922468007,102.76394335269701,8.574733680675203,-0.155088,-0.762237,0.075844,-0.623852,-0.173514,0.141796,-0.97457,0.331058,0.940391,0.077882,0.203432,1.283914,2.82701,-10.766734784896157,76.04486123696736,-4.014606453727084,-0.095343,0.610288,0.030283,0.785838,0.253262,-0.068778,-0.96495,-0.163967,0.979986,-0.112885,0.239271,1.297139,2.674007,-18.06669498370877,76.19856092285244,8.980246198633306,-0.075472,0.617176,0.157425,0.767213,0.188623,0.148398,-0.970773,-0.334715,0.939043,0.078511
