Timestamp,Head_position_x,Head_position_y,Head_position_z,Head_euler_x,Head_euler_y,Head_euler_z,Head_quat_x,Head_quat_y,Head_quat_z,Head_quat_w,Head_sixD_a,Head_sixD_b,Head_sixD_c,Head_sixD_d,Head_sixD_e,Head_sixD_f,LeftHand_position_x,LeftHand_position_y,LeftHand_position_z,LeftHand_euler_x,LeftHand_euler_y,LeftHand_euler_z,LeftHand_quat_x,LeftHand_quat_y,LeftHand_quat_z,LeftHand_quat_w,LeftHand_sixD_a,LeftHand_sixD_b,LeftHand_sixD_c,LeftHand_sixD_d,LeftHand_sixD_e,LeftHand_sixD_f,RightHand_position_x,RightHand_position_y,RightHand_position_z,RightHand_euler_x,RightHand_euler_y,RightHand_euler_z,RightHand_quat_x,RightHand_quat_y,RightHand_quat_z,RightHand_quat_w,RightHand_sixD_a,RightHand_sixD_b,RightHand_sixD_c,RightHand_sixD_d,RightHand_sixD_e,RightHand_sixD_f
0.000,0.07188,1.599914,2.54918,8.645197137575453,13.254092373523159,1.4534344698551522,-0.076322,-0.114119,-0.003865,-0.990524,0.973924,0.025076,-0.225485,0.009763,0.98832,0.15208,-0.076003,1.258176,2.786186,-21.72192600021576,-3.457355565804616,-16.707629498123826,-0.182038,-0.056675,-0.148242,0.970399,0.949625,-0.267074,0.163965,0.308341,0.889773,-0.336496,0.193239,1.233003,2.797043,-18.15309480603824,20.20208003142534,14.08624191147622,-0.132901,0.190925,0.146663,0.961444,0.884075,0.231269,-0.406111,-0.332765,0.921655,-0.19955
0.043,0.076492,1.600996,2.547658,8.005281581767587,16.266109833842574,0.8790988502089233,-0.070181,-0.140593,0.002299,-0.987574,0.960457,0.015193,-0.278015,0.024275,0.990139,0.137971,-0.073758,1.257734,2.785987,-21.889694337547965,-2.6464457038302256,-16.96663453433791,-0.184392,-0.050426,-0.149136,0.970163,0.950431,-0.270776,0.152842,0.307969,0.887516,-0.34274,0.193536,1.231707,2.796565,-17.905671029010755,20.30815794566085,14.201395564795773,-0.130482,0.191748,0.14742,0.961496,0.883,0.233449,-0.407201,-0.333527,0.922484,-0.19438
0.094,0.080674,1.602226,2.546208,7.284711151328941,19.030805507359528,0.3584723927043504,-0.06317,-0.164782,0.007423,-0.984277,0.945584,0.006207,-0.325319,0.03543,0.991909,0.121907,-0.072613,1.257361,2.787152,-21.788079639906336,-2.180600404686988,-17.30881962498975,-0.183996,-0.046906,-0.151291,0.970081,0.949822,-0.276267,0.146679,0.310789,0.886513,-0.34279,0.193848,1.231424,2.795741,-17.946020230050085,20.45706920085518,14.339210941298067,-0.130399,0.193187,0.1488,0.961007,0.881075,0.235613,-0.410115,-0.336378,0.921709,-0.193136
0.098,0.081109,1.602421,2.5459,7.186915306162777,19.38935542242711,0.29161725734642885,-0.062209,-0.167909,0.008051,-0.983805,0.943483,0.005049,-0.331382,0.036732,0.99213,0.1197,-0.072452,1.257292,2.787272,-21.75818996096196,-2.1421772334174762,-17.336819043303915,-0.183782,-0.046588,-0.151469,0.970109,0.949773,-0.276759,0.146066,0.311007,0.886562,-0.342464,0.193892,1.23144,2.795686,-17.95652907788496,20.49048283991354,14.370194192380357,-0.130392,0.193511,0.149112,0.960894,0.880638,0.236097,-0.410774,-0.337026,0.921527,-0.192876
0.103,0.081489,1.602538,2.545646,7.110911759206944,19.728408284731763,0.24483189813567027,-0.061463,-0.170853,0.008523,-0.983341,0.941474,0.00424,-0.33706,0.037764,0.992299,0.117965,-0.0724,1.257253,2.787677,-21.73171927113936,-2.082170796415439,-17.37140394642209,-0.183623,-0.046102,-0.151668,0.970131,0.949743,-0.277346,0.14515,0.311207,0.886559,-0.342292,0.193995,1.23146,2.795581,-17.97155904130123,20.55617890450854,14.405249862254378,-0.130374,0.194114,0.149501,0.960714,0.879939,0.23664,-0.411957,-0.33787,0.921304,-0.192464
0.114,0.081709,1.602632,2.545374,7.055284202170238,19.96710257465908,0.19784649046697084,-0.060897,-0.172932,0.00897,-0.983008,0.940028,0.003426,-0.34108,0.038698,0.992422,0.116621,-0.072179,1.257165,2.787834,-21.708842317789422,-2.010008877084921,-17.39317694380768,-0.183516,-0.045497,-0.151739,0.970169,0.949811,-0.277725,0.143973,0.311123,0.886594,-0.342276,0.194148,1.231411,2.795455,-17.97469757447919,20.616717205096347,14.440301748719776,-0.130262,0.194664,0.149868,0.960561,0.879291,0.237201,-0.413017,-0.33863,0.921143,-0.191902
0.125,0.081822,1.602715,2.545164,6.99478830567872,20.160121648177924,0.15450333642577666,-0.060297,-0.174617,0.009352,-0.982744,0.938843,0.002677,-0.344335,0.039438,0.992554,0.115247,-0.071897,1.257028,2.788016,-21.698272151634203,-1.9044005994485294,-17.470324131736284,-0.183536,-0.044713,-0.152224,0.970125,0.949657,-0.27894,0.142633,0.311766,0.886285,-0.342493,0.194279,1.231466,2.795388,-17.975615359496356,20.68944376785311,14.445330460527854,-0.130166,0.19528,0.149994,0.960429,0.878735,0.23728,-0.414153,-0.338955,0.921117,-0.191448
0.136,0.081908,1.602796,2.544893,6.938066186381178,20.30111658571751,0.12185590842824623,-0.059749,-0.175849,0.009619,-0.982555,0.937969,0.002112,-0.346713,0.039916,0.992675,0.114031,-0.071667,1.256956,2.788175,-21.680687003965584,-1.8088975310782653,-17.540245235309914,-0.183487,-0.043994,-0.152665,0.970098,0.949516,-0.280056,0.141381,0.312345,0.886052,-0.342568,0.194478,1.231432,2.795262,-17.980471673329273,20.758855158263334,14.455996962800223,-0.130098,0.195878,0.150169,0.96029,0.878163,0.237445,-0.415272,-0.339378,0.921048,-0.191033
0.148,0.081934,1.602895,2.544729,6.889485480858562,20.431010022331897,0.07095654255648234,-0.059243,-0.176994,0.010048,-0.982376,0.937144,0.001229,-0.34894,0.040714,0.992779,0.112842,-0.071519,1.256842,2.788568,-21.655385251683636,-1.6854907408038353,-17.638469598311705,-0.1834,-0.043074,-0.153302,0.970055,0.949286,-0.281623,0.1398,0.313222,0.885726,-0.34261,0.194675,1.231543,2.795084,-17.982794637068416,20.83335210050465,14.38013022089347,-0.13015,0.196418,0.149621,0.960258,0.878067,0.236223,-0.41617,-0.338478,0.921349,-0.191177
0.159,0.081798,1.602981,2.544523,6.840286625117762,20.46716580155928,0.021792214637631566,-0.058742,-0.177334,0.010412,-0.982341,0.936888,0.000379,-0.349628,0.041289,0.992882,0.111717,-0.070897,1.256574,2.788435,-21.64134460203264,-1.5842133555146118,-17.704999315270562,-0.183392,-0.042305,-0.153705,0.970027,0.94917,-0.282679,0.138451,0.313713,0.885484,-0.342786,0.194833,1.231622,2.794976,-17.976832486721293,20.901199011886597,14.336486738253512,-0.130086,0.196932,0.149324,0.960207,0.87784,0.235529,-0.417041,-0.338001,0.92156,-0.191006
